id,time,mood,circumplex.arousal,circumplex.valence,activity,call,screen,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.33,2014-04-15,7.0,,,,,,,,,,,,,,,,,,
AS14.33,2014-04-16,7.2,0.33333333333333337,0.33333333333333326,0.09502751346574716,5.000000000000001,2319.6885036826116,0.9999999999999998,579.6699999999992,960.6077499999999,150.25850000000003,,,,107.61600000000007,2767.7750000000015,,27.135,163.45774999999998,
AS14.33,2014-04-17,7.4,-0.1333333333333333,0.8666666666666666,0.08359985165868739,7.000000000000001,8688.865759879349,1.9999999999999998,2215.2000000000007,1815.75275,463.99850000000004,,,,245.7338750000001,7652.367000000002,,51.9576,446.90274999999997,
AS14.33,2014-04-18,7.666666666666667,-0.35555555555555557,0.8444444444444444,0.06801720515434241,10.0,12124.507514894009,3.0,3257.4000000000005,3077.292375,569.912375,,,,316.3438750000001,11753.883000000003,,74.46780000000001,549.27175,
AS14.33,2014-04-19,7.4,-0.26666666666666666,0.8833333333333333,0.11583931300780334,12.0,16160.874518454075,4.333333333333333,4642.5070000000005,3869.6118750000005,647.5416250000001,,,,371.79887500000007,13706.892000000003,,94.66560000000001,633.21075,
AS14.33,2014-04-20,7.2,-0.21333333333333332,0.9466666666666667,0.09882308102797688,15.666666666666668,20859.262524068356,6.0,5196.492000000001,4652.546,881.65075,,,,432.6468750000001,19551.156000000003,,112.551,636.22075,
AS14.33,2014-04-21,6.2,-0.27999999999999997,1.0,0.08770970758978508,16.0,22440.66127499938,6.999999999999999,5074.680000000001,4880.235125,1026.1153749999999,,,,388.3058750000001,21650.890000000003,3.0190000000000126,100.989,476.971,
AS14.33,2014-04-22,5.2,-0.28,0.68,0.09037460265742134,21.0,22358.32002592087,8.333333333333334,4752.420999999999,4942.283625,981.64275,,,,328.759,21858.471,55.45500000000001,89.427,283.658,
AS14.33,2014-04-23,7.0,-0.16,0.4,0.08454726026771672,19.0,21568.098775774244,10.0,4181.806,3933.832375,1145.1262499999998,,,,326.4120000000001,20373.379,107.02900000000001,77.86500000000001,271.8495,
AS14.33,2014-04-24,8.4,-0.21000000000000002,0.4,0.05954065701214959,22.0,22957.301028490067,11.666666666666666,4453.642000000001,4927.2025,1275.098125,,,,337.85262500000005,21811.246,157.741,66.303,278.8995,
AS14.33,2014-04-25,7.6,-0.05,0.36,0.08267910460973356,49.333333333333336,24126.13702440262,12.0,6150.513000000003,5081.172125,1182.2075,,,,329.19662500000004,18490.606,193.91000000000003,54.741,332.7325,
AS14.33,2014-04-26,6.2,0.030000000000000006,0.44000000000000006,0.14264430254819757,62.0,25953.32902467251,14.0,7885.903000000004,4218.304625000001,983.1956250000001,,,,321.846625,16398.067,254.138,43.179,351.2215,
AS14.33,2014-04-27,6.75,-0.08999999999999998,0.56,0.1364758300969195,59.0,24940.474525392056,14.166666666666666,7826.466000000004,4481.59,1044.8048749999998,,,,304.644625,16419.698,292.027,33.82392631578947,266.0655,
AS14.33,2014-04-28,6.2,-0.3,0.8300000000000001,0.1514970418711216,60.0,30557.83527907729,12.5,9761.417000000009,5675.16375,985.0666249999999,3.106,,,294.88862500000005,19542.851000000002,357.856,26.675778947368418,467.5695,
AS14.33,2014-04-29,6.4,-0.33000000000000007,0.7100000000000001,0.14059127670537355,58.0,32423.619526684284,10.5,9785.025000000007,4949.711875,1031.76225,6.212,,,366.9936250000001,21044.717,451.62499999999994,21.73455789473684,474.2165,
AS14.33,2014-04-30,7.0,-0.6900000000000001,0.56,0.1139559425870856,28.0,30231.881030201912,9.5,8120.356000000004,4590.3285,1102.3715,9.318,,,369.35562500000015,22396.230000000003,634.337375,19.000263157894736,531.762,
AS14.33,2014-05-01,7.444444444444445,-0.89,0.4600000000000001,0.08164325343923437,18.0,31190.146531283855,6.5,8151.1790000000055,5493.989875,1316.70725,12.424,,,370.7086250000001,23472.735,776.153375,18.472894736842107,640.206,
AS14.33,2014-05-02,7.888888888888889,-0.73,0.5133333333333334,0.13883088533812316,16.0,26583.280273646116,7.0,7292.493000000005,4974.880375000001,1141.859125,15.53,,,362.7672500000001,20539.5525,865.859375,17.945526315789476,704.91575,
AS14.33,2014-05-03,8.333333333333334,-0.52,0.53,0.18247599036370915,17.0,20606.1572663486,7.0,5914.572,3621.8662500000005,934.2099999999999,15.53,,,322.68225000000007,15309.7435,903.4553750000001,17.418157894736844,496.57662500000004,
AS14.33,2014-05-04,7.333333333333333,-0.44000000000000006,0.65,0.23518960264628533,25.0,17763.1255158782,7.0,6257.791,2872.9534999999996,888.0693749999998,15.53,,,221.24062500000005,12042.1225,888.9413750000001,16.89078947368421,496.70562500000005,
AS14.33,2014-05-05,6.166666666666666,-0.5733333333333334,0.7333333333333333,0.23961676925760753,30.0,16394.097014069557,7.0,6639.130000000001,3406.85725,907.6457499999999,15.53,,,205.83762500000006,11889.3455,744.714,16.36342105263158,438.93112500000007,
AS14.33,2014-05-06,5.0,-0.645,0.65,0.2194598345134991,30.0,14803.655764728786,7.0,5698.683000000001,5939.222375,1040.823125,15.53,,,188.88162500000004,12995.884499999998,712.8183750000001,15.836052631578948,323.253125,
AS14.33,2014-05-07,6.6,-0.615,0.4166666666666667,0.15169326245711529,29.0,15543.24126645923,5.0,5568.610000000001,5284.9360000000015,1014.8084999999999,15.53,,,176.94700000000006,12528.273,534.950375,15.308684210526316,256.75437500000004,
